date,name,mobility_score,cases_rolling
2020-04-01,Banyule (C),,4.428571428571429
2020-04-01,Bayside (C),,0.42857142857142855
2020-04-01,Boroondara (C),,1.5714285714285714
2020-04-01,Brimbank (C),,1.5714285714285714
2020-04-01,Cardinia (S),,0.14285714285714285
2020-04-01,Casey (C),,0.7142857142857143
2020-04-01,Darebin (C),,0.5714285714285714
2020-04-01,Frankston (C),,1.4285714285714286
2020-04-01,Glen Eira (C),,0.42857142857142855
2020-04-01,Greater Dandenong (C),,0.5714285714285714
2020-04-01,Hobsons Bay (C),,0.0
2020-04-01,Hume (C),,1.2857142857142858
2020-04-01,Kingston (C) (Vic.),,
2020-04-01,Knox (C),,0.5714285714285714
2020-04-01,Manningham (C),,0.2857142857142857
2020-04-01,Maribyrnong (C),,0.0
2020-04-01,Maroondah (C),,0.2857142857142857
2020-04-01,Melbourne (C),,0.5714285714285714
2020-04-01,Melton (C),,0.8571428571428571
2020-04-01,Monash (C),,2.4285714285714284
2020-04-01,Moonee Valley (C),,1.5714285714285714
2020-04-01,Moreland (C),,1.4285714285714286
2020-04-01,Mornington Peninsula (S),,0.7142857142857143
2020-04-01,Nillumbik (S),,1.0
2020-04-01,Port Phillip (C),,0.7142857142857143
2020-04-01,Stonnington (C),,1.1428571428571428
2020-04-01,Whitehorse (C),,1.1428571428571428
2020-04-01,Whittlesea (C),,0.14285714285714285
2020-04-01,Wyndham (C),,0.7142857142857143
2020-04-01,Yarra (C),,1.7142857142857142
2020-04-01,all,,28.428571428571427
2020-04-01,highSE,,11.142857142857142
2020-04-01,lowSE,,7.142857142857143
2020-04-01,midSE,,10.142857142857142
2020-04-02,Banyule (C),,5.142857142857143
2020-04-02,Bayside (C),,0.42857142857142855
2020-04-02,Boroondara (C),,1.7142857142857142
2020-04-02,Brimbank (C),,1.5714285714285714
2020-04-02,Cardinia (S),,0.2857142857142857
2020-04-02,Casey (C),,0.8571428571428571
2020-04-02,Darebin (C),,0.42857142857142855
2020-04-02,Frankston (C),,1.7142857142857142
2020-04-02,Glen Eira (C),,0.42857142857142855
2020-04-02,Greater Dandenong (C),,0.7142857142857143
2020-04-02,Hobsons Bay (C),,0.0
2020-04-02,Hume (C),,1.2857142857142858
2020-04-02,Kingston (C) (Vic.),,
2020-04-02,Knox (C),,0.42857142857142855
2020-04-02,Manningham (C),,0.42857142857142855
2020-04-02,Maribyrnong (C),,0.14285714285714285
2020-04-02,Maroondah (C),,0.2857142857142857
